ville,code_commune,departement,region,annee,score_sportif,score_economique
Rouen,76540,Seine-Maritime,Haute-Normandie,2 023,"0,137","0,010"
Grenoble,38185,Isère,Rhône-Alpes,2 022,"0,136","0,014"
Tours,37261,Indre-et-Loire,Centre,2 017,"0,136","0,547"
Laval,53130,Mayenne,Pays de la Loire,2 014,"0,136","0,490"
Oyonnax,01283,Ain,Rhône-Alpes,2 014,"0,136","0,535"
Massy,91377,Essonne,Île-de-France,2 020,"0,136","0,518"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 018,"0,135","0,542"
Arles,13004,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 012,"0,135","0,481"
Boulogne-sur-Mer,62160,Pas-de-Calais,Nord-Pas-de-Calais,2 012,"0,135","0,553"
Chartres,28085,Eure-et-Loir,Centre,2 019,"0,134","0,536"
Courbevoie,92026,Hauts-de-Seine,Île-de-France,2 012,"0,133","0,568"
Neuilly-sur-Marne,93050,Seine-Saint-Denis,Île-de-France,2 013,"0,133","0,497"
Neuilly-sur-Marne,93050,Seine-Saint-Denis,Île-de-France,2 015,"0,133","0,494"
Rodez,12202,Aveyron,Midi-Pyrénées,2 021,"0,132","0,475"
Orléans,45234,Loiret,Centre,2 021,"0,131","0,546"
Oyonnax,01283,Ain,Rhône-Alpes,2 016,"0,130","0,537"
Nîmes,30189,Gard,Languedoc-Roussillon,2 012,"0,128","0,538"
Le Mans,72181,Sarthe,Pays de la Loire,2 017,"0,128","0,570"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 020,"0,128","0,524"
Arles,13004,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 014,"0,128","0,476"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 016,"0,127","0,554"
Sochaux,25547,Doubs,Franche-Comté,2 019,"0,127","0,523"
Orléans,45234,Loiret,Centre,2 014,"0,127","0,529"
Massy,91377,Essonne,Île-de-France,2 017,"0,125","0,510"
Massy,91377,Essonne,Île-de-France,2 013,"0,125","0,490"
Chartres,28085,Eure-et-Loir,Centre,2 018,"0,125","0,534"
Caen,14118,Calvados,Basse-Normandie,2 020,"0,125","0,527"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 020,"0,124","0,563"
Narbonne,11262,Aude,Languedoc-Roussillon,2 017,"0,124","0,562"
Vannes,56260,Morbihan,Bretagne,2 018,"0,124","0,546"
Saintes,17415,Charente-Maritime,Poitou-Charentes,2 012,"0,124","0,523"
Besancon,25056,Doubs,Franche-Comté,2 015,"0,124","0,514"
Mont-de-Marsan,40192,Landes,Aquitaine,2 021,"0,124","0,513"
Besancon,25056,Doubs,Franche-Comté,2 016,"0,124","0,511"
Besancon,25056,Doubs,Franche-Comté,2 014,"0,124","0,509"
Besancon,25056,Doubs,Franche-Comté,2 013,"0,124","0,507"
Colomiers,31149,Haute-Garonne,Midi-Pyrénées,2 013,"0,124","0,505"
Sélestat,67462,Bas-Rhin,Alsace,2 020,"0,124","0,505"
Auch,32013,Gers,Midi-Pyrénées,2 012,"0,124","0,469"
Aurillac,15014,Cantal,Auvergne,2 022,"0,124","0,001"
Aurillac,15014,Cantal,Auvergne,2 023,"0,124","0,001"
Oyonnax,01283,Ain,Rhône-Alpes,2 013,"0,123","0,519"
Laval,53130,Mayenne,Pays de la Loire,2 013,"0,123","0,476"
Oyonnax,01283,Ain,Rhône-Alpes,2 018,"0,123","0,509"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 022,"0,121","0,003"
Grenoble,38185,Isère,Rhône-Alpes,2 016,"0,120","0,524"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 015,"0,120","0,554"
Châteauroux,36044,Indre,Centre,2 013,"0,120","0,526"
Denain,59172,Nord,Nord-Pas-de-Calais,2 014,"0,120","0,599"
Saint-quentin,02691,Aisne,Picardie,2 016,"0,120","0,592"
Vichy,03310,Allier,Auvergne,2 021,"0,120","0,581"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 018,"0,120","0,528"
Boulazac,24053,Dordogne,Aquitaine,2 022,"0,120","0,000"
Ajaccio,2A004,Corse-du-Sud,Corse,2 019,"0,119","0,471"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 023,"0,118","0,003"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 013,"0,118","0,494"
Châteauroux,36044,Indre,Centre,2 020,"0,117","0,543"
Orléans,45234,Loiret,Centre,2 016,"0,117","0,535"
Oyonnax,01283,Ain,Rhône-Alpes,2 019,"0,117","0,507"
